,event_name,nb_sub_events,iterations,dataset
0,http://dbpedia.org/resource/World_War_II,1437,120,dbpedia
4,http://dbpedia.org/resource/American_Civil_War,630,35,dbpedia
20,http://dbpedia.org/resource/American_Revolutionary_War,304,30,dbpedia
24,http://dbpedia.org/resource/Vietnam_War,290,25,dbpedia
26,http://dbpedia.org/resource/Arab_Spring,284,25,dbpedia
30,http://dbpedia.org/resource/Eastern_Front_(World_War_II),234,25,dbpedia
32,http://dbpedia.org/resource/Western_Front_(World_War_II),221,25,dbpedia
38,http://dbpedia.org/resource/Eighty_Years'_War,189,25,dbpedia
40,http://dbpedia.org/resource/War_of_the_First_Coalition,182,25,dbpedia
48,http://dbpedia.org/resource/Western_Front_(World_War_I),169,25,dbpedia
51,http://dbpedia.org/resource/Seven_Years'_War,164,25,dbpedia
53,http://dbpedia.org/resource/Sixty_Years'_War,161,25,dbpedia
57,http://dbpedia.org/resource/Chinese_Civil_War,155,25,dbpedia
68,http://dbpedia.org/resource/Sengoku_period,144,20,dbpedia
72,http://dbpedia.org/resource/Wars_of_the_Three_Kingdoms,139,20,dbpedia
73,http://dbpedia.org/resource/War_in_Afghanistan_(2001–present),137,20,dbpedia
87,http://dbpedia.org/resource/Middle_Eastern_theatre_of_World_War_I,126,20,dbpedia
93,http://dbpedia.org/resource/Iraq_War,120,20,dbpedia
94,http://dbpedia.org/resource/Iraqi_insurgency_(2003–2011),120,20,dbpedia
97,http://dbpedia.org/resource/Ottoman–Habsburg_wars,115,20,dbpedia
100,http://dbpedia.org/resource/Spanish_American_wars_of_independence,110,20,dbpedia
101,http://dbpedia.org/resource/War_of_the_Austrian_Succession,107,20,dbpedia
103,http://dbpedia.org/resource/Korean_War,106,20,dbpedia
106,http://dbpedia.org/resource/War_of_the_Spanish_Succession,104,20,dbpedia
107,http://dbpedia.org/resource/Insurgency_in_Khyber_Pakhtunkhwa,103,20,dbpedia
112,http://dbpedia.org/resource/War_of_1812,99,10,dbpedia
113,http://dbpedia.org/resource/Iraqi_Civil_War_(2014–2017),98,20,dbpedia
119,http://dbpedia.org/resource/Arab_Winter,91,20,dbpedia
120,http://dbpedia.org/resource/Reconquista,90,20,dbpedia
121,http://dbpedia.org/resource/War_of_the_Second_Coalition,90,20,dbpedia
126,http://dbpedia.org/resource/Spanish_Civil_War,85,20,dbpedia
127,http://dbpedia.org/resource/War_of_the_Sixth_Coalition,83,20,dbpedia
128,http://dbpedia.org/resource/Great_Northern_War,82,20,dbpedia
130,http://dbpedia.org/resource/Second_Sino-Japanese_War,81,20,dbpedia
139,http://dbpedia.org/resource/Nine_Years'_War,78,20,dbpedia
145,http://dbpedia.org/resource/The_Troubles,74,15,dbpedia
148,http://dbpedia.org/resource/Eastern_Front_(World_War_I),72,15,dbpedia
152,http://dbpedia.org/resource/Mongol_invasions_and_conquests,70,15,dbpedia
160,http://dbpedia.org/resource/Cuban_War_of_Independence,65,15,dbpedia
162,http://dbpedia.org/resource/North_African_campaign,64,15,dbpedia
166,http://dbpedia.org/resource/Mexican_Indian_Wars,63,15,dbpedia
167,http://dbpedia.org/resource/Philippine_Revolution,63,15,dbpedia
172,http://dbpedia.org/resource/Mexican–American_War,59,15,dbpedia
175,http://dbpedia.org/resource/Battle_of_the_Atlantic,58,15,dbpedia
176,http://dbpedia.org/resource/Invasion_of_Poland,58,15,dbpedia
177,http://dbpedia.org/resource/Spillover_of_the_Syrian_Civil_War,58,15,dbpedia
178,http://dbpedia.org/resource/Unification_of_Germany,58,15,dbpedia
182,http://dbpedia.org/resource/Operation_Overlord,57,15,dbpedia
187,http://dbpedia.org/resource/First_English_Civil_War,55,15,dbpedia
192,http://dbpedia.org/resource/Bosnian_War,54,15,dbpedia
