,event,annot,sent_val,frame,lemma,fe,value,ent,is_ent
147,First_Battle_of_Newbury,First_Battle_of_Newbury_0_13_9,"Although the numbers of casualties were relatively small (1,300 Royalists and 1,200 Parliamentarians), historians who have studied the battle consider it to be one of the most crucial of the First English Civil War, marking the high point of the Royalist advance and leading to the signing of the Solemn League and Covenant, which brought the Scottish Covenanters into the war on the side of Parliament and led to the eventual victory of the Parliamentarian cause.",Causation,leading,Cause,one of the most crucial of the First English Civil War,First_English_Civil_War,1
148,First_Battle_of_Newbury,First_Battle_of_Newbury_0_13_9,"Although the numbers of casualties were relatively small (1,300 Royalists and 1,200 Parliamentarians), historians who have studied the battle consider it to be one of the most crucial of the First English Civil War, marking the high point of the Royalist advance and leading to the signing of the Solemn League and Covenant, which brought the Scottish Covenanters into the war on the side of Parliament and led to the eventual victory of the Parliamentarian cause.",Causation,leading,Effect,"to the signing of the Solemn League and Covenant, which brought the Scottish Covenanters into the war on the side of Parliament and led to the eventual victory of the Parliamentarian cause",Covenanters,1
149,First_Battle_of_Newbury,First_Battle_of_Newbury_0_13_9,"Although the numbers of casualties were relatively small (1,300 Royalists and 1,200 Parliamentarians), historians who have studied the battle consider it to be one of the most crucial of the First English Civil War, marking the high point of the Royalist advance and leading to the signing of the Solemn League and Covenant, which brought the Scottish Covenanters into the war on the side of Parliament and led to the eventual victory of the Parliamentarian cause.",Causation,leading,Effect,"to the signing of the Solemn League and Covenant, which brought the Scottish Covenanters into the war on the side of Parliament and led to the eventual victory of the Parliamentarian cause",Parliament_of_England,1
150,First_Battle_of_Newbury,First_Battle_of_Newbury_0_13_9,"Although the numbers of casualties were relatively small (1,300 Royalists and 1,200 Parliamentarians), historians who have studied the battle consider it to be one of the most crucial of the First English Civil War, marking the high point of the Royalist advance and leading to the signing of the Solemn League and Covenant, which brought the Scottish Covenanters into the war on the side of Parliament and led to the eventual victory of the Parliamentarian cause.",Causation,leading,Effect,"to the signing of the Solemn League and Covenant, which brought the Scottish Covenanters into the war on the side of Parliament and led to the eventual victory of the Parliamentarian cause",Roundhead,0
184,Irish_Confederate_Wars,Irish_Confederate_Wars_0_25_2,"This saw widespread killing of civilians and destruction of foodstuffs by the English army, who also brought an outbreak of bubonic plague.",Causation,brought,Effect,an outbreak of bubonic plague,Bubonic_plague,1
209,Siege_of_Colchester,Siege_of_Colchester_0_2_1,"The Parliamentarians' initial attack forced the Royalist army to retreat behind the town's walls, but they were unable to bring about victory, so they settled down to a siege.",Causation,forced,Cause,The Parliamentarians'initial attack,N/A,N/A
211,Siege_of_Colchester,Siege_of_Colchester_0_2_1,"The Parliamentarians' initial attack forced the Royalist army to retreat behind the town's walls, but they were unable to bring about victory, so they settled down to a siege.",Causation,forced,Effect,to retreat behind the town's walls,N/A,N/A
271,Siege_of_Thessalonica_(1422–1430),Siege_of_Thessalonica_(1422–1430)_0_8_3,"The blockade quickly reduced the inhabitants to near starvation, and led many to flee the city.",Causation,led,Cause,The blockade,N/A,N/A
272,Siege_of_Thessalonica_(1422–1430),Siege_of_Thessalonica_(1422–1430)_0_8_3,"The blockade quickly reduced the inhabitants to near starvation, and led many to flee the city.",Causation,led,Effect,to flee the city,N/A,N/A
358,Battle_of_Kasserine_Pass,Battle_of_Kasserine_Pass_0_4_0,"This result confirmed a prediction of Winston Churchill, who had strongly advocated that the invasion of France as laid out in the proposed 1942 plan Operation Roundup be delayed until the Allies could support such an ambitious undertaking, which would give the U.S. troops time to get up to speed with the realities of war against the experienced and well-equipped Germans.",Causation,result,Cause,result,N/A,N/A
