,event,annot,sent_val,lemma,fe,value,is_causation,is_cause_effect
147,First_Battle_of_Newbury,First_Battle_of_Newbury_0_13_9,"Although the numbers of casualties were relatively small (1,300 Royalists and 1,200 Parliamentarians), historians who have studied the battle consider it to be one of the most crucial of the First English Civil War, marking the high point of the Royalist advance and leading to the signing of the Solemn League and Covenant, which brought the Scottish Covenanters into the war on the side of Parliament and led to the eventual victory of the Parliamentarian cause.",leading,Cause,one of the most crucial of the First English Civil War,1,0
148,First_Battle_of_Newbury,First_Battle_of_Newbury_0_13_9,"Although the numbers of casualties were relatively small (1,300 Royalists and 1,200 Parliamentarians), historians who have studied the battle consider it to be one of the most crucial of the First English Civil War, marking the high point of the Royalist advance and leading to the signing of the Solemn League and Covenant, which brought the Scottish Covenanters into the war on the side of Parliament and led to the eventual victory of the Parliamentarian cause.",leading,Effect,"to the signing of the Solemn League and Covenant, which brought the Scottish Covenanters into the war on the side of Parliament and led to the eventual victory of the Parliamentarian cause",1,1
184,Irish_Confederate_Wars,Irish_Confederate_Wars_0_25_2,"This saw widespread killing of civilians and destruction of foodstuffs by the English army, who also brought an outbreak of bubonic plague.",brought,Effect,an outbreak of bubonic plague,1,1
209,Siege_of_Colchester,Siege_of_Colchester_0_2_1,"The Parliamentarians' initial attack forced the Royalist army to retreat behind the town's walls, but they were unable to bring about victory, so they settled down to a siege.",forced,Cause,The Parliamentarians'initial attack,1,1
211,Siege_of_Colchester,Siege_of_Colchester_0_2_1,"The Parliamentarians' initial attack forced the Royalist army to retreat behind the town's walls, but they were unable to bring about victory, so they settled down to a siege.",forced,Effect,to retreat behind the town's walls,1,1
271,Siege_of_Thessalonica_(1422–1430),Siege_of_Thessalonica_(1422–1430)_0_8_3,"The blockade quickly reduced the inhabitants to near starvation, and led many to flee the city.",led,Cause,The blockade,1,1
272,Siege_of_Thessalonica_(1422–1430),Siege_of_Thessalonica_(1422–1430)_0_8_3,"The blockade quickly reduced the inhabitants to near starvation, and led many to flee the city.",led,Effect,to flee the city,1,1
358,Battle_of_Kasserine_Pass,Battle_of_Kasserine_Pass_0_4_0,"This result confirmed a prediction of Winston Churchill, who had strongly advocated that the invasion of France as laid out in the proposed 1942 plan Operation Roundup be delayed until the Allies could support such an ambitious undertaking, which would give the U.S. troops time to get up to speed with the realities of war against the experienced and well-equipped Germans.",result,Cause,result,0,0
401,Action_of_30_September_1639,Action_of_30_September_1639_0_2_0,"Bom Jesus was set alight and allowed to drift toward the new galleon São Boaventura, which was refusing to surrender, causing São Boaventura to catch fire and blow up.",causing,Cause,which,1,1
403,Action_of_30_September_1639,Action_of_30_September_1639_0_2_0,"Bom Jesus was set alight and allowed to drift toward the new galleon São Boaventura, which was refusing to surrender, causing São Boaventura to catch fire and blow up.",causing,Effect,to catch fire and blow up,1,1
611,Battle_of_Handschuhsheim,Battle_of_Handschuhsheim_0_4_4,"In early 1795 many of France's enemies made peace, leaving only Austria and Great Britain in opposition.",leaving,Cause,In early 1795,1,0
614,Battle_of_Handschuhsheim,Battle_of_Handschuhsheim_0_4_4,"In early 1795 many of France's enemies made peace, leaving only Austria and Great Britain in opposition.",leaving,Effect,in opposition,1,0
903,Rhine_campaign_of_1795,Rhine_campaign_of_1795_0_12_1,"It is debatable whether Pichegru's treason, his bad generalship or the unrealistic expectations of the war planners in Paris was the actual cause of the French failure.",cause,Cause,"Pichegru's treason, his bad generalship or the unrealistic expectations of the war planners in Paris",1,1
904,Rhine_campaign_of_1795,Rhine_campaign_of_1795_0_12_1,"It is debatable whether Pichegru's treason, his bad generalship or the unrealistic expectations of the war planners in Paris was the actual cause of the French failure.",cause,Effect,of the French failure.,1,1
920,Second_Battle_of_Boulou,Second_Battle_of_Boulou_0_1_1,"This battle saw the French Army of the Eastern Pyrenees led by Jacques François Dugommier attacking the joint Spanish-Portuguese Army of Catalonia under Luis Firmín de Carvajal, Conde de la Unión.",saw,Cause,This battle,1,1
921,Second_Battle_of_Boulou,Second_Battle_of_Boulou_0_1_1,"This battle saw the French Army of the Eastern Pyrenees led by Jacques François Dugommier attacking the joint Spanish-Portuguese Army of Catalonia under Luis Firmín de Carvajal, Conde de la Unión.",saw,Effect,"the French Army of the Eastern Pyrenees led by Jacques François Dugommier attacking the joint Spanish-Portuguese Army of Catalonia under Luis Firmn de Carvajal, Conde de la Unión",1,1
947,Siege_of_Calvi,Siege_of_Calvi_0_8_2,"Stuart and the French commander Raphaël de Casabianca then engaged in extended negotiations which led to first a truce and then, on 10 August, a capitulation.",led,Cause,which,1,1
948,Siege_of_Calvi,Siege_of_Calvi_0_8_2,"Stuart and the French commander Raphaël de Casabianca then engaged in extended negotiations which led to first a truce and then, on 10 August, a capitulation.",led,Effect,"to first a truce and then, on 10 August, a capitulation",1,1
1082,Yom_Kippur_War,Yom_Kippur_War_0_5_4,"Following the outbreak of hostilities, both the United States and the Soviet Union initiated massive resupply efforts to their respective allies during the war, which led to a near-confrontation between the two nuclear-armed superpowers.",led,Cause,which,1,1
1083,Yom_Kippur_War,Yom_Kippur_War_0_5_4,"Following the outbreak of hostilities, both the United States and the Soviet Union initiated massive resupply efforts to their respective allies during the war, which led to a near-confrontation between the two nuclear-armed superpowers.",led,Effect,to a near-confrontation between the two nuclear-armed superpowers,1,1
1156,Battle_of_Tabsor,Battle_of_Tabsor_0_11_2,"These operations began the Final Offensive, ultimately resulting in the destruction of the equivalent of an Ottoman army and the retreat in disarray of what remained of two armies.",resulting,Cause,These operations,1,1
1157,Battle_of_Tabsor,Battle_of_Tabsor_0_11_2,"These operations began the Final Offensive, ultimately resulting in the destruction of the equivalent of an Ottoman army and the retreat in disarray of what remained of two armies.",resulting,Effect,in the destruction of the equivalent of an Ottoman army and the retreat in disarray of what remained of two armies,1,1
1196,Battles_of_Ramadi_(1917),Battles_of_Ramadi_(1917)_0_4_0,"This was caused by a combination of factors, including extreme heat that caused more casualties than enemy fire, bad weather, faulty British communications, and an effective Turkish defence.",caused,Effect,This,1,1
1197,Battles_of_Ramadi_(1917),Battles_of_Ramadi_(1917)_0_4_0,"This was caused by a combination of factors, including extreme heat that caused more casualties than enemy fire, bad weather, faulty British communications, and an effective Turkish defence.",caused,Cause,"by a combination of factors, including extreme heat that caused more casualties than enemy fire, bad weather, faulty British communications, and an effective Turkish defence",1,1
1256,Third_attack_on_Anzac_Cove,Third_attack_on_Anzac_Cove_0_7_2,"It had failed by midday; the Turks were caught by enfilade fire from the defenders' rifles and machine-guns, which caused around ten thousand casualties, including three thousand deaths.",caused,Cause,which,1,1
1257,Third_attack_on_Anzac_Cove,Third_attack_on_Anzac_Cove_0_7_2,"It had failed by midday; the Turks were caught by enfilade fire from the defenders' rifles and machine-guns, which caused around ten thousand casualties, including three thousand deaths.",caused,Effect,"around ten thousand casualties, including three thousand deaths",1,1
1415,Battle_of_Messines_(1917),Battle_of_Messines_(1917)_0_2_1,"The attack forced the Germans to move reserves to Flanders from the Arras and Aisne fronts, relieving pressure on the French.",forced,Cause,The attack,1,1
