,event,type
0,1896_Summer_Olympics,sport
1,1900_Summer_Olympics,sport
2,1904_Summer_Olympics,sport
3,1906_Intercalated_Games,sport
4,1908_Summer_Olympics,sport
5,1912_Summer_Olympics,sport
6,1920_Summer_Olympics,sport
7,1924_Summer_Olympics,sport
8,1924_Winter_Olympics,sport
9,1928_Summer_Olympics,sport
10,1928_Winter_Olympics,sport
11,1932_Summer_Olympics,sport
12,1932_Winter_Olympics,sport
13,1934_European_Athletics_Championships,sport
14,1936_Summer_Olympics,sport
15,1936_Winter_Olympics,sport
16,1938_European_Athletics_Championships,sport
17,1946_European_Athletics_Championships,sport
18,1948_Arab–Israeli_War,historical
19,1948_Summer_Olympics,sport
20,1948_Winter_Olympics,sport
21,1950_European_Athletics_Championships,sport
22,1952_Summer_Olympics,sport
23,1952_Winter_Olympics,sport
24,1954_European_Athletics_Championships,sport
25,1956_Summer_Olympics,sport
26,1956_Winter_Olympics,sport
27,1958_European_Athletics_Championships,sport
28,1960_Summer_Olympics,sport
29,1960_Winter_Olympics,sport
30,1962_British_Empire_and_Commonwealth_Games,sport
31,1962_European_Athletics_Championships,sport
32,1964_Summer_Olympics,sport
33,1964_Winter_Olympics,sport
34,1966_European_Athletics_Championships,sport
35,1966_European_Indoor_Games,sport
36,1968_Summer_Olympics,sport
37,1968_Winter_Olympics,sport
38,1969_European_Athletics_Championships,sport
39,1970_European_Athletics_Indoor_Championships,sport
40,1970_United_States_Senate_elections,political
41,1971_European_Athletics_Championships,sport
42,1971_European_Athletics_Indoor_Championships,sport
43,1971_NASCAR_Winston_Cup_Series,sport
44,1972_European_Athletics_Indoor_Championships,sport
45,1972_Summer_Olympics,sport
46,1972_United_States_Senate_elections,political
47,1972_Winter_Olympics,sport
48,1973_European_Athletics_Indoor_Championships,sport
49,1973_NASCAR_Winston_Cup_Series,sport
50,1974_Asian_Games,sport
51,1974_European_Athletics_Championships,sport
52,1976_European_Athletics_Indoor_Championships,sport
53,1976_NASCAR_Winston_Cup_Series,sport
54,1976_Summer_Olympics,sport
55,1976_United_States_Senate_elections,political
56,1976_WTA_Tour,sport
57,1976_Winter_Olympics,sport
58,1977_European_Athletics_Indoor_Championships,sport
59,1977_NASCAR_Winston_Cup_Series,sport
60,1978_Commonwealth_Games,sport
61,1978_European_Athletics_Championships,sport
62,1978_European_Athletics_Indoor_Championships,sport
