Please provide a summary of the French Revolution. You should utilise relevant content and the following context triples.

Context triples:
```triples
(French_Revolution, rdf-schema#label, "French Revolution"@en)
(French_Revolution, hypernym, Period)
(French_Revolution, abstract, "The French Revolution (French: Révolution française [ʁevɔlysjɔ̃ fʁɑ̃sɛːz]) was a period of radical political and societal change in France that began with the Estates General of 1789 and ended with the formation of the French Consulate in November 1799. Many of its ideas are considered fundamental principles of liberal democracy, while phrases like Liberté, égalité, fraternité reappeared in other revolts, such as the 1917 Russian Revolution, and inspired campaigns for the abolition of slavery and universal suffrage. Its values and the institutions it created dominate French politics to this day. The causes are generally agreed to be a combination of social, political and economic factors, which the existing regime proved unable to manage. In May 1789, widespread social distress led to the convocation of the Estates-General, which was converted into a National Assembly in June. The Assembly passed a series of radical measures, including the abolition of feudalism, state control of the Catholic Church and extending the right to vote. The next three years were dominated by the struggle for political control, exacerbated by economic depression and social unrest. External powers like Austria, Britain and Prussia viewed the Revolution as a threat, leading to the outbreak of the French Revolutionary Wars in April 1792. Disillusionment with Louis XVI led to the establishment of the First French Republic on 22 September 1792, followed by his execution in January 1793. In June, an uprising in Paris replaced the Girondins who dominated the National Assembly with the Committee of Public Safety, headed by Maximilien Robespierre. This sparked the Reign of Terror, an attempt to eradicate alleged "counter-revolutionaries"; by the time it ended in July 1794, over 16,600 had been executed in Paris and the provinces. As well as external enemies, the Republic faced a series of internal Royalist and Jacobin revolts; in order to deal with these, the French Directory took power in November 1795. Despite military success, the war led to economic stagnation and internal divisions, and in November 1799 the Directory was replaced by the consulate; this point is generally seen as ending the Revolutionary period."@en)
(Francisco_de_Miranda__MilitaryService__1, battle, French_Revolution)
(Georges_Washington_de_La_Fayette__MilitaryService__1, battle, French_Revolution)
(Gilbert_du_Motier,_Marquis_de_Lafayette, battle, French_Revolution)
(Louis_Charles_d'Hervilly, battle, French_Revolution)
(Garde_du_Corps_(France), battle, French_Revolution)
(James_Bartholomew_Blackwell, battle, French_Revolution)
(Pierre_Douville, battle, French_Revolution)
(William_Henry_Clinton, battle, French_Revolution)
(Jean_Gravier,_marquis_de_Vergennes, deathPlace, French_Revolution)
(Noël_Pinot, deathPlace, French_Revolution)
(Jean-Jacques_Rousseau, influenced, French_Revolution)
(Battle_of_Kaiserslautern, isPartOfMilitaryConflict, French_Revolution)
(Battle_of_Wattignies, isPartOfMilitaryConflict, French_Revolution)
(Day_of_Daggers, isPartOfMilitaryConflict, French_Revolution)
(Demonstration_of_20_June_1792, isPartOfMilitaryConflict, French_Revolution)
(Insurrection_of_10_August_1792, isPartOfMilitaryConflict, French_Revolution)
(Insurrection_of_31_May_–_2_June_1793, isPartOfMilitaryConflict, French_Revolution)
(Revolt_of_1_Prairial_Year_III, isPartOfMilitaryConflict, French_Revolution)
(Siege_of_Maubeuge_(1793), isPartOfMilitaryConflict, French_Revolution)
(Storming_of_the_Bastille, isPartOfMilitaryConflict, French_Revolution)
(13_Vendémiaire, isPartOfMilitaryConflict, French_Revolution)
(Coup_of_18_Fructidor, isPartOfMilitaryConflict, French_Revolution)
(Fall_of_Maximilien_Robespierre, isPartOfMilitaryConflict, French_Revolution)
(Insurrection_of_12_Germinal,_Year_III, isPartOfMilitaryConflict, French_Revolution)
(François_Buzot, knownFor, French_Revolution)
(François_Furet, knownFor, French_Revolution)
(Gregory_S._Brown, knownFor, French_Revolution)
(Joseph_Niou, knownFor, French_Revolution)
(Zamor, knownFor, French_Revolution)
(Jean-Marie_Collot_d'Herbois, occupation, French_Revolution)
```
Be concise in your answer.
