,linkDBpediaEn
0,http://dbpedia.org/resource/Battle_of_Cassano_(1799)
1,http://dbpedia.org/resource/Second_Battle_of_Zurich
2,http://dbpedia.org/resource/French_Revolution
3,http://dbpedia.org/resource/French_Revolutionary_Wars
4,http://dbpedia.org/resource/Chouannerie
5,http://dbpedia.org/resource/Coup_of_18_Brumaire
6,http://dbpedia.org/resource/Coup_of_30_Prairial_VII
7,http://dbpedia.org/resource/Action_of_28_February_1799
8,http://dbpedia.org/resource/Battle_of_Verona_(1799)
9,http://dbpedia.org/resource/Battle_of_Mount_Tabor_(1799)
10,http://dbpedia.org/resource/French_invasion_of_Switzerland
11,http://dbpedia.org/resource/Anglo-Spanish_War_(1796–1808)
12,http://dbpedia.org/resource/War_of_the_Second_Coalition
13,http://dbpedia.org/resource/Quasi-War
14,http://dbpedia.org/resource/Siege_of_Malta_(1798–1800)
15,http://dbpedia.org/resource/Battle_of_Bergen_(1799)
16,http://dbpedia.org/resource/Action_of_19_January_1799
17,http://dbpedia.org/resource/Haitian_Revolution
18,http://dbpedia.org/resource/French_campaign_in_Egypt_and_Syria
19,http://dbpedia.org/resource/Battle_of_Winterthur
20,http://dbpedia.org/resource/Action_of_9_February_1799_(South_Africa)
21,http://dbpedia.org/resource/Action_of_18_June_1799
22,http://dbpedia.org/resource/Action_of_6_February_1799
23,http://dbpedia.org/resource/Cutting_out_of_the_Hermione
24,http://dbpedia.org/resource/Order_of_battle_at_the_Battle_of_Stockach_(1799)
25,http://dbpedia.org/resource/Macau_Incident_(1799)
26,http://dbpedia.org/resource/Anglo-Russian_invasion_of_Holland
27,http://dbpedia.org/resource/First_Battle_of_Zurich
28,http://dbpedia.org/resource/Vlieter_incident
29,http://dbpedia.org/resource/Battle_of_Magnano
30,http://dbpedia.org/resource/Battle_of_Genola
31,http://dbpedia.org/resource/Siege_of_Jaffa
32,http://dbpedia.org/resource/Battle_of_Oberwald
33,http://dbpedia.org/resource/Battle_of_Callantsoog
34,http://dbpedia.org/resource/Battle_of_Modena_(1799)
35,http://dbpedia.org/resource/Siege_of_Mantua_(1799)
