,subject,predicate,object,type_df,iteration,regex_helper
7,http://dbpedia.org/resource/Storming_of_the_Bastille,http://dbpedia.org/property/combatant,http://dbpedia.org/resource/French_Revolution,ingoing,1,1789
18,http://dbpedia.org/resource/Day_of_Daggers,http://dbpedia.org/property/partof,http://dbpedia.org/resource/French_Revolution,ingoing,1,1789
37,http://dbpedia.org/resource/Battle_of_Kaiserslautern,http://dbpedia.org/ontology/isPartOfMilitaryConflict,http://dbpedia.org/resource/French_Revolution,ingoing,1,1789
38,http://dbpedia.org/resource/Battle_of_Wattignies,http://dbpedia.org/ontology/isPartOfMilitaryConflict,http://dbpedia.org/resource/French_Revolution,ingoing,1,1789
39,http://dbpedia.org/resource/Day_of_Daggers,http://dbpedia.org/ontology/isPartOfMilitaryConflict,http://dbpedia.org/resource/French_Revolution,ingoing,1,1789
40,http://dbpedia.org/resource/Demonstration_of_20_June_1792,http://dbpedia.org/ontology/isPartOfMilitaryConflict,http://dbpedia.org/resource/French_Revolution,ingoing,1,1792
41,http://dbpedia.org/resource/Insurrection_of_10_August_1792,http://dbpedia.org/ontology/isPartOfMilitaryConflict,http://dbpedia.org/resource/French_Revolution,ingoing,1,1792
42,http://dbpedia.org/resource/Insurrection_of_31_May_–_2_June_1793,http://dbpedia.org/ontology/isPartOfMilitaryConflict,http://dbpedia.org/resource/French_Revolution,ingoing,1,1793
43,http://dbpedia.org/resource/Revolt_of_1_Prairial_Year_III,http://dbpedia.org/ontology/isPartOfMilitaryConflict,http://dbpedia.org/resource/French_Revolution,ingoing,1,1789
44,http://dbpedia.org/resource/Siege_of_Maubeuge_(1793),http://dbpedia.org/ontology/isPartOfMilitaryConflict,http://dbpedia.org/resource/French_Revolution,ingoing,1,1793
45,http://dbpedia.org/resource/Storming_of_the_Bastille,http://dbpedia.org/ontology/isPartOfMilitaryConflict,http://dbpedia.org/resource/French_Revolution,ingoing,1,1789
46,http://dbpedia.org/resource/13_Vendémiaire,http://dbpedia.org/ontology/isPartOfMilitaryConflict,http://dbpedia.org/resource/French_Revolution,ingoing,1,1789
47,http://dbpedia.org/resource/Coup_of_18_Fructidor,http://dbpedia.org/ontology/isPartOfMilitaryConflict,http://dbpedia.org/resource/French_Revolution,ingoing,1,1789
48,http://dbpedia.org/resource/Fall_of_Maximilien_Robespierre,http://dbpedia.org/ontology/isPartOfMilitaryConflict,http://dbpedia.org/resource/French_Revolution,ingoing,1,1789
49,"http://dbpedia.org/resource/Insurrection_of_12_Germinal,_Year_III",http://dbpedia.org/ontology/isPartOfMilitaryConflict,http://dbpedia.org/resource/French_Revolution,ingoing,1,1789
6,http://dbpedia.org/resource/13_Vendémiaire,http://dbpedia.org/ontology/isPartOfMilitaryConflict,http://dbpedia.org/resource/War_of_the_First_Coalition,outgoing,2,1789
29,http://dbpedia.org/resource/Battle_of_Mas_Deu,http://dbpedia.org/property/campaign,http://dbpedia.org/resource/War_of_the_First_Coalition,ingoing,3,1789
30,http://dbpedia.org/resource/Battle_of_the_Black_Mountain,http://dbpedia.org/property/campaign,http://dbpedia.org/resource/War_of_the_First_Coalition,ingoing,3,1789
31,http://dbpedia.org/resource/Battle_of_Perpignan,http://dbpedia.org/property/campaign,http://dbpedia.org/resource/War_of_the_First_Coalition,ingoing,3,1789
32,http://dbpedia.org/resource/Second_Battle_of_Kehl_(1796),http://dbpedia.org/property/campaign,http://dbpedia.org/resource/War_of_the_First_Coalition,ingoing,3,1796
34,http://dbpedia.org/resource/Battle_of_Tagliamento,http://dbpedia.org/property/conflict,http://dbpedia.org/resource/War_of_the_First_Coalition,ingoing,3,1789
38,http://dbpedia.org/resource/Battle_of_Aldenhoven_(1794),http://dbpedia.org/property/partof,http://dbpedia.org/resource/War_of_the_First_Coalition,ingoing,3,1794
39,http://dbpedia.org/resource/Battle_of_Höchst_(1795),http://dbpedia.org/property/partof,http://dbpedia.org/resource/War_of_the_First_Coalition,ingoing,3,1795
40,http://dbpedia.org/resource/Battle_of_Kaiserslautern_(1794),http://dbpedia.org/property/partof,http://dbpedia.org/resource/War_of_the_First_Coalition,ingoing,3,1794
41,http://dbpedia.org/resource/Battle_of_Neerwinden_(1793),http://dbpedia.org/property/partof,http://dbpedia.org/resource/War_of_the_First_Coalition,ingoing,3,1793
42,http://dbpedia.org/resource/Battle_of_Pfeddersheim_(1795),http://dbpedia.org/property/partof,http://dbpedia.org/resource/War_of_the_First_Coalition,ingoing,3,1795
43,http://dbpedia.org/resource/Invasion_of_France_(1795),http://dbpedia.org/property/partof,http://dbpedia.org/resource/War_of_the_First_Coalition,ingoing,3,1795
44,http://dbpedia.org/resource/Invasion_of_Guadeloupe_(1794),http://dbpedia.org/property/partof,http://dbpedia.org/resource/War_of_the_First_Coalition,ingoing,3,1794
45,http://dbpedia.org/resource/Rhine_campaign_of_1795,http://dbpedia.org/property/partof,http://dbpedia.org/resource/War_of_the_First_Coalition,ingoing,3,1795
46,http://dbpedia.org/resource/Siege_of_Landau_(1793),http://dbpedia.org/property/partof,http://dbpedia.org/resource/War_of_the_First_Coalition,ingoing,3,1793
47,http://dbpedia.org/resource/Siege_of_Ypres_(1794),http://dbpedia.org/property/partof,http://dbpedia.org/resource/War_of_the_First_Coalition,ingoing,3,1794
48,http://dbpedia.org/resource/Action_at_Mannheim_(1795),http://dbpedia.org/property/partof,http://dbpedia.org/resource/War_of_the_First_Coalition,ingoing,3,1795
49,http://dbpedia.org/resource/Battle_of_Altenkirchen,http://dbpedia.org/property/partof,http://dbpedia.org/resource/War_of_the_First_Coalition,ingoing,3,1789
50,http://dbpedia.org/resource/Battle_of_Diersheim_(1797),http://dbpedia.org/property/partof,http://dbpedia.org/resource/War_of_the_First_Coalition,ingoing,3,1797
51,http://dbpedia.org/resource/Battle_of_Erquelinnes,http://dbpedia.org/property/partof,http://dbpedia.org/resource/War_of_the_First_Coalition,ingoing,3,1789
52,http://dbpedia.org/resource/Battle_of_Friedberg_(Hessen),http://dbpedia.org/property/partof,http://dbpedia.org/resource/War_of_the_First_Coalition,ingoing,3,1789
53,http://dbpedia.org/resource/Battle_of_Froeschwiller_(1793),http://dbpedia.org/property/partof,http://dbpedia.org/resource/War_of_the_First_Coalition,ingoing,3,1793
54,http://dbpedia.org/resource/Battle_of_Gosselies,http://dbpedia.org/property/partof,http://dbpedia.org/resource/War_of_the_First_Coalition,ingoing,3,1789
55,http://dbpedia.org/resource/Battle_of_Haguenau_(1793),http://dbpedia.org/property/partof,http://dbpedia.org/resource/War_of_the_First_Coalition,ingoing,3,1793
56,http://dbpedia.org/resource/Battle_of_Kircheib,http://dbpedia.org/property/partof,http://dbpedia.org/resource/War_of_the_First_Coalition,ingoing,3,1789
57,http://dbpedia.org/resource/Battle_of_Lambusart,http://dbpedia.org/property/partof,http://dbpedia.org/resource/War_of_the_First_Coalition,ingoing,3,1789
58,http://dbpedia.org/resource/Battle_of_Maudach,http://dbpedia.org/property/partof,http://dbpedia.org/resource/War_of_the_First_Coalition,ingoing,3,1789
59,http://dbpedia.org/resource/Battle_of_Pirmasens,http://dbpedia.org/property/partof,http://dbpedia.org/resource/War_of_the_First_Coalition,ingoing,3,1789
60,http://dbpedia.org/resource/Battle_of_Siegburg,http://dbpedia.org/property/partof,http://dbpedia.org/resource/War_of_the_First_Coalition,ingoing,3,1789
61,http://dbpedia.org/resource/Battle_of_Wetzlar_(1796),http://dbpedia.org/property/partof,http://dbpedia.org/resource/War_of_the_First_Coalition,ingoing,3,1796
62,http://dbpedia.org/resource/Siege_of_Fort-Louis_(1793),http://dbpedia.org/property/partof,http://dbpedia.org/resource/War_of_the_First_Coalition,ingoing,3,1793
63,http://dbpedia.org/resource/Siege_of_Le_Quesnoy_(1793),http://dbpedia.org/property/partof,http://dbpedia.org/resource/War_of_the_First_Coalition,ingoing,3,1793
64,http://dbpedia.org/resource/French_Revolutionary_Wars,http://dbpedia.org/property/result,http://dbpedia.org/resource/War_of_the_First_Coalition,ingoing,3,1789
65,http://dbpedia.org/resource/Battle_of_Arcole,http://dbpedia.org/property/title,http://dbpedia.org/resource/War_of_the_First_Coalition,ingoing,3,1789
66,http://dbpedia.org/resource/Battle_of_Bassano,http://dbpedia.org/property/title,http://dbpedia.org/resource/War_of_the_First_Coalition,ingoing,3,1789
67,http://dbpedia.org/resource/Battle_of_Borghetto,http://dbpedia.org/property/title,http://dbpedia.org/resource/War_of_the_First_Coalition,ingoing,3,1789
68,http://dbpedia.org/resource/Battle_of_Caldiero_(1796),http://dbpedia.org/property/title,http://dbpedia.org/resource/War_of_the_First_Coalition,ingoing,3,1796
69,http://dbpedia.org/resource/Battle_of_Castiglione,http://dbpedia.org/property/title,http://dbpedia.org/resource/War_of_the_First_Coalition,ingoing,3,1789
70,http://dbpedia.org/resource/Battle_of_Lodi,http://dbpedia.org/property/title,http://dbpedia.org/resource/War_of_the_First_Coalition,ingoing,3,1789
71,http://dbpedia.org/resource/Battle_of_Lonato,http://dbpedia.org/property/title,http://dbpedia.org/resource/War_of_the_First_Coalition,ingoing,3,1789
72,http://dbpedia.org/resource/Battle_of_Rivoli,http://dbpedia.org/property/title,http://dbpedia.org/resource/War_of_the_First_Coalition,ingoing,3,1789
73,http://dbpedia.org/resource/Battle_of_Rovereto,http://dbpedia.org/property/title,http://dbpedia.org/resource/War_of_the_First_Coalition,ingoing,3,1789
74,http://dbpedia.org/resource/Battle_of_Tarvis_(1797),http://dbpedia.org/property/title,http://dbpedia.org/resource/War_of_the_First_Coalition,ingoing,3,1797
75,http://dbpedia.org/resource/Battle_of_Valvasone_(1797),http://dbpedia.org/property/title,http://dbpedia.org/resource/War_of_the_First_Coalition,ingoing,3,1797
76,http://dbpedia.org/resource/Second_Battle_of_Bassano,http://dbpedia.org/property/title,http://dbpedia.org/resource/War_of_the_First_Coalition,ingoing,3,1789
